epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.035,1.49072,3.44363,1.55344,0.02218,0.51738,0.11229,0.06626,1.41803,3.67833,1.41209,0.0002,0.0002,0.0002
2,325.475,1.31201,2.21155,1.36412,0.93877,0.05603,0.2212,0.11952,1.46579,3.36785,1.39927,0.000404332,0.000404332,0.000404332
3,471.704,1.33995,1.8618,1.29754,0.71203,0.19767,0.22045,0.11605,1.72097,2.98864,1.54022,0.00060025,0.00060025,0.00060025
4,620.022,1.36181,1.90014,1.35204,0.74694,0.23862,0.31291,0.16555,1.6417,2.81305,1.45388,0.000787752,0.000787752,0.000787752
5,766.057,1.34408,1.74593,1.3367,0.55823,0.28174,0.38393,0.18066,1.64193,2.72366,1.52009,0.00096684,0.00096684,0.00096684
6,911.882,1.36656,1.75265,1.41464,0.49612,0.3342,0.39908,0.19823,1.73101,2.65207,1.5838,0.00112625,0.00112625,0.00112625
7,1059.69,1.35014,1.66871,1.36729,0.52652,0.36948,0.41906,0.2175,1.76695,2.63562,1.64469,0.0011015,0.0011015,0.0011015
8,1209.19,1.34514,1.60228,1.33873,0.47288,0.43649,0.43869,0.20665,1.84559,2.36271,1.65939,0.00107675,0.00107675,0.00107675
9,1356.4,1.37512,1.45826,1.30338,0.61921,0.5469,0.55736,0.27651,1.77217,2.05458,1.58282,0.001052,0.001052,0.001052
10,1503.35,1.31589,1.46253,1.3015,0.60124,0.54952,0.56149,0.28402,1.72821,2.09194,1.56168,0.00102725,0.00102725,0.00102725
11,1648.47,1.30003,1.44174,1.30588,0.62033,0.54481,0.56003,0.28451,1.69775,2.12735,1.57297,0.0010025,0.0010025,0.0010025
12,1799.51,1.34356,1.37078,1.30649,0.64644,0.5042,0.53138,0.24448,1.80413,2.13878,1.65053,0.00097775,0.00097775,0.00097775
13,1946.3,1.27918,1.36659,1.2833,0.67996,0.49766,0.54718,0.27442,1.70767,2.02538,1.56419,0.000953,0.000953,0.000953
